,Name,Price/KSH,Rating,Review
275,Generic Small Bicycle Bell MTB Road Bike Horn Safety Ring Cycling,"KSh 1,399",,
276,Generic Ametoys V4 Professional Magic Yoyo High-speed Aluminum,"KSh 5,045",,
277,Generic 8Pcs Stick Wall Balls Sticky Fluorescent Ceiling Ball,KSh 956,,
278,Generic High-grade Jacquard Table,KSh 632,,
279,Irin Colorful Ukulele Ukelele Uke Strings Nylon Material,KSh 705,,
280,Generic Coverall Medical Reusable,"KSh 5,284",,
281,Generic 12-Hole Non-Stick Muffin,KSh 900,,
282,Generic DU PONT Pro Safety Clothing,"KSh 11,262",,
283,Generic Dog Halloween Shirt Pet T Shirt Dog Little Devil Pet,KSh 912,,
284,Generic Infinite Squeeze Edamame Bean Pea With Expression Key Chain,KSh 464,,
285,Generic Type-C To 3.5mm Earphone Adapter USB 3.1 Type-C Male To 3.5,KSh 622,,
286,Generic DualShock Wirelessly Controller BT Gamepad Game Controller,"KSh 2,720",,
287,Generic Masks Replaceable KN95,"KSh 1,906",,
288,THE INKEY LIST 2 % Hyaluronic Acid Skin Hydration/ Moisturising Soothing Serum,"KSh 3,170",,
289,Constant Portable Electronic Handheld Scale(50kg/10g),"KSh 4,000",,
290,Fashion High Waist Leggings - BLUE,KSh 870,,
291,Fashion Hooded Plant Print Windbreaker Jacket - BLACK,"KSh 1,304",,
292,Zaful Striped Knot Front Cutout One Piece Swimsuit - GREY AND WHITE,"KSh 2,106",,
293,Fashion V Neck Causal Slip Dress - WHITE AND BLACK,KSh 725,,
294,Generic Going to the Mountain Life Lessons from my Grandfather,"KSh 1,695",,
295,Generic THE GIRL WHO TAKES AN EYE FOR AN EYE,"KSh 1,195",,
296,Generic AMERICAN KINGPIN,"KSh 1,395",,
297,Generic A LEGACY OF SPIES,"KSh 1,195",,
298,Generic Sydney Finkelsten Superbosses,"KSh 1,495",,
299,Jumia Books HOW TO MAKE IT BIG AS A CONSULTANT,KSh 800,,
300,Vobyl BECOMING MICHELLE OBAMA,"KSh 3,000",,
301,Generic LEOPARD AT THE DOOR,KSh 995,,
302,Generic Top Performance.,"KSh 1,295",,
303,Generic The New IQ -  Tracey Alloway - Use Your Working Memory..,"KSh 1,395",,
304,Generic Princess Diaries 7:Party Princess -MEG CABOT,KSh 895,,
305,Generic AMERICAN GODS,KSh 995,,
306,Fashion Beige 30 Comb Banana Hair Clip Hairpin,KSh 500,,
307,Fashion Trendy Word Clip Drippin,KSh 200,,
308,Fashion Kid's Red 3 Set Hair Bow,KSh 350,,
309,Generic Mens Summer Leisure Stripe Color Collision Short Sleeve Shorts Sports Thin Sets,"KSh 2,545",,
310,Generic Men's Hooded Spliced Sweatshirt Sweatpants Sports Leisure Fitness Suit,"KSh 3,048",,
